Year;Data;1.5;2;3;4
2020;6042.335708;6546.637287;6573.201464;6597.165391;6571.077879
2021;;6165.079135;6375.69361;6520.006294;6522.788832
2022;;5783.520983;6178.185757;6442.847197;6474.499785
2023;;5401.962831;5980.677903;6365.688099;6426.210738
2024;;5020.404679;5783.17005;6288.529002;6377.921691
2025;;4638.846528;5585.662196;6211.369905;6329.632643
2026;;4337.09423;5404.025836;6115.504899;6240.399297
2027;;4035.341933;5222.389475;6019.639893;6151.16595
2028;;3733.589635;5040.753114;5923.774886;6061.932603
2029;;3431.837338;4859.116754;5827.90988;5972.699257
2030;;3130.08504;4677.480393;5732.044874;5883.46591
2031;;2949.011801;4499.348783;5653.308446;5861.826643
2032;;2767.938563;4321.217172;5574.572018;5840.187376
2033;;2586.865324;4143.085562;5495.83559;5818.548109
2034;;2405.792085;3964.953952;5417.099163;5796.908842
2035;;2224.718847;3786.822342;5338.362735;5775.269575
2036;;2059.222161;3623.922088;5257.793625;5781.962
2037;;1893.725475;3461.021835;5177.224515;5788.654425
2038;;1728.22879;3298.121582;5096.655406;5795.34685
2039;;1562.732104;3135.221329;5016.086296;5802.039275
2040;;1397.235419;2972.321076;4935.517187;5808.7317
2041;;1298.947499;2827.374447;4826.417198;5807.175013
2042;;1200.659579;2682.427819;4717.317209;5805.618326
2043;;1102.371659;2537.48119;4608.21722;5804.061639
2044;;1004.08374;2392.534562;4499.117232;5802.504951
2045;;905.7958197;2247.587933;4390.017243;5800.948264
2046;;851.3125602;2138.670556;4313.860835;5773.077238
2047;;796.8293008;2029.75318;4237.704427;5745.206212
2048;;742.3460413;1920.835803;4161.548019;5717.335186
2049;;687.8627818;1811.918426;4085.391612;5689.46416
2050;;633.3795223;1703.001049;4009.235204;5661.593134
2051;;591.4940058;1679.842993;3957.916124;5526.667496
2052;;546.25318;1605.784563;3892.288833;5502.632406
2053;;504.4726299;1534.991112;3827.749726;5478.701842
2054;;465.8876939;1467.318698;3764.28076;5454.875351
2055;;430.2539533;1402.629725;3701.86419;5431.15248
2056;;397.3456838;1340.792663;3640.482567;5407.532778
2057;;366.9544259;1281.681782;3580.118729;5384.015796
2058;;338.8876643;1225.176894;3520.7558;5360.601088
2059;;312.9676083;1171.16311;3462.377184;5337.288209
2060;;289.0300656;1119.530606;3404.96656;5314.076716
2061;;266.9234022;1070.174399;3348.507877;5290.966168
2062;;246.5075823;1022.994135;3292.985352;5267.956126
2063;;227.6532803;977.8938854;3238.38346;5245.046153
2064;;210.2410626;934.7819484;3184.686937;5222.235814
2065;;194.1606304;893.5706666;3131.880771;5199.524676
2066;;179.3101211;854.1762467;3079.950199;5176.912307
2067;;165.5954632;816.5185896;3028.880701;5154.398278
2068;;152.9297803;780.5211276;2978.658001;5131.98216
2069;;141.2328409;746.1106683;2929.268057;5109.663529
2070;;130.4305499;713.2172464;2880.697062;5087.441959
2071;;120.4544796;681.773981;2832.931435;5065.31703
2072;;111.2414359;651.7169396;2785.957824;5043.288321
2073;;102.7330582;622.9850086;2739.763094;5021.355413
2074;;94.8754496;595.5197684;2694.334332;4999.517889
2075;;87.6188356;569.265375;2649.658837;4977.775336
2076;;80.91724871;544.1684464;2605.724119;4956.127339
2077;;74.7282373;520.177954;2562.517894;4934.573488
2078;;69.01259668;497.2451189;2520.028083;4913.113373
2079;;63.73412077;475.3233127;2478.242807;4891.746587
2080;;58.85937271;454.3679626;2437.150385;4870.472723
2081;;54.35747312;434.3364609;2396.739327;4849.291378
2082;;50.19990441;415.1880785;2356.998336;4828.202149
2083;;46.3603302;396.8838815;2317.916302;4807.204635
2084;;42.81442846;379.3866528;2279.482297;4786.298439
2085;;39.53973746;362.6608161;2241.685577;4765.483162
2086;;36.51551345;346.6723632;2204.515575;4744.758409
2087;;33.7225993;331.3887856;2167.961898;4724.123786
2088;;31.1433031;316.7790077;2132.014329;4703.578902
2089;;28.76128615;302.8133241;2096.662815;4683.123367
2090;;26.5614594;289.4633388;2061.897475;4662.756791
2091;;24.52988791;276.7019079;2027.708589;4642.478788
2092;;22.65370257;264.5030841;1994.086597;4622.288972
2093;;20.92101855;252.8420639;1961.022102;4602.186961
2094;;19.32086006;241.6951376;1928.505857;4582.172372
2095;;17.84309079;231.0396404;1896.528774;4562.244825
2096;;16.47834972;220.853907;1865.081911;4542.403941
2097;;15.21799181;211.1172271;1834.156477;4522.649344
2098;;14.05403324;201.8098035;1803.743827;4502.980658
2099;;12.97910085;192.9127118;1773.835456;4483.397511
2100;;11.98638539;184.4078619;1744.423005;4463.899528
2101;;;;;
